screen,on,,1571980814496
screen,off,,1571980820148
screen,on,,1571980821888
screen,on,,1571980941295
screen,on,,1571980955625
screen,on,,1571981059251
screen,on,,1571981061659
screen,on,,1571981066537
screen,on,,1571981068772
screen,on,,1571981141202
screen,off,,1571981150385
screen,on,,1571981150905
screen,on,,1571981161096
screen,on,,1571981225549
screen,off,,1571981228030
screen,on,,1571981234047
screen,off,,1571981295510
screen,off,,1571981320494
screen,off,,1571981328949
screen,on,,1571981366387
screen,on,,1571981368933
screen,off,,1571981384421
screen,on,,1571981513337
screen,off,,1571983681704
screen,off,,1571997453094
screen,on,,1571997468053
screen,off,,1571997494324
screen,off,,1571997547823
screen,off,,1572008420861
screen,off,,1572008435503
screen,off,,1572009019098
screen,off,,1572009331732
screen,off,,1572009616718
screen,off,,1572010224860
screen,off,,1572010723494
screen,off,,1572010814784
screen,off,,1572011052875
screen,off,,1572011251418
screen,off,,1572011419153
screen,off,,1572011693509
screen,on,,1572011760741
screen,off,,1572013510690
screen,on,,1572013558558
screen,off,,1572013570415
screen,off,,1572013838592
screen,off,,1572013974850
screen,on,,1572014080888
screen,off,,1572014087194
screen,on,,1572014153524
screen,off,,1572014162368
screen,on,,1572014316376
screen,off,,1572014357336
screen,on,,1572014376660
screen,off,,1572015115793
screen,off,,1572015293739
screen,on,,1572015326253
screen,off,,1572015335148
screen,off,,1572015597135
screen,on,,1572015612717
screen,off,,1572015617498
screen,on,,1572017816971
screen,off,,1572018341606
screen,off,,1572018672988
screen,on,,1572018690837
screen,on,,1572018711210
screen,off,,1572018889038
screen,on,,1572018929773
screen,off,,1572018971484
screen,on,,1572019012907
screen,off,,1572019024552
screen,on,,1572019068971
screen,off,,1572019086013
screen,on,,1572019102681
screen,off,,1572019121621
screen,off,,1572019189308
screen,on,,1572019197017
screen,off,,1572019232793
screen,on,,1572019373771
screen,off,,1572019400202
screen,on,,1572019839992
screen,off,,1572019937058
screen,on,,1572020118895
screen,off,,1572020206313
screen,on,,1572020810273
screen,off,,1572020979853
